DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V05_0694,Pennsylvania Evening Post,"PENNSYLVANIA EVENING POST , SATURDAY, JUNE 8, 1776 Philadelp",Pennsylvania Evening Post,PENNSYLVANIA EVENING POST,title,/TaggedPDF-doc/doc[694]/title/pub
NDAR_V05_0701,Virginia Gazette,"DIXON AND HUNTER'S VIRGINIA GAZETTE , SATURDAY, JUNE 8, 1776 Williamsb",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[701]/title/pub
NDAR_V05_0728,Boston Gazette,"BOSTON GAZETTE , MONDAY, JUNE 10, 1776 Watertown,",Boston Gazette,BOSTON GAZETTE,title,/TaggedPDF-doc/doc[728]/title/pub
NDAR_V05_0735,New York Gazette,"NEW-YORK GAZETTE , MONDAY, JUNE 10, 1776. New York,",New York Gazette,NEW-YORK GAZETTE,title,/TaggedPDF-doc/doc[735]/title/pub
NDAR_V05_0796,Constitutional Gazette,"CONSTITUTIONAL GAZETTE , WEDNESDAY, JUNE 12, 1776 New-Yor",Constitutional Gazette,CONSTITUTIONAL GAZETTE,title,/TaggedPDF-doc/doc[796]/title/pub
NDAR_V05_0801,Pennsylvania Gazette,"PENNSYLVANIA GAZETTE , WEDNESDAY, JUNE 12, 1776 Philade",Pennsylvania Gazette,PENNSYLVANIA GAZETTE,title,/TaggedPDF-doc/doc[801]/title/pub
NDAR_V05_0815,Continental Journal,"CONTINENTAL JOURNAL , THURSDAY, JUNE 13, 1776 Boston,",Continental Journal,CONTINENTAL JOURNAL,title,/TaggedPDF-doc/doc[815]/title/pub
NDAR_V05_0816,New England Chronicle,"NEW-ENGLAND CHRONICLE , THURSDAY, JUNE 13, 1776 Boston,",New England Chronicle,NEW-ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[816]/title/pub
NDAR_V05_0822,New York Packet,"NEW YORK PACKET , THURSDAY, JUNE 13, 1776 New York",New York Packet,NEW YORK PACKET,title,/TaggedPDF-doc/doc[822]/title/pub
NDAR_V05_0857,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, JUNE 14, 1776 Williamsbu",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[857]/title/pub
NDAR_V05_0890,Virginia Gazette,"DIXON AND HUNTER'S VIRGINIA GAZETTE , SATURDAY, JUNE 15, 1776 Williams",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[890]/title/pub
NDAR_V05_0936,New York Gazette,"NEW-YORK GAZETTE , MONDAY, JUNE 24, 1776 Newport, J",New York Gazette,NEW-YORK GAZETTE,title,/TaggedPDF-doc/doc[936]/title/pub
NDAR_V05_0937,New York Journal,"NEW-YORK JOURNAL , THURSDAY, JUNE 27, 1776 New-Port",New York Journal,NEW-YORK JOURNAL,title,/TaggedPDF-doc/doc[937]/title/pub
NDAR_V05_0951,American Gazette,"AMERICAN GAZETTE , TUESDAY, JUNE 18, 1776 Salem, Ju",American Gazette,AMERICAN GAZETTE,title,/TaggedPDF-doc/doc[951]/title/pub
NDAR_V05_0982,American Gazette,"AMERICAN GAZETTE , WEDNESDAY, JUNE 19, 1776 Salem,",American Gazette,AMERICAN GAZETTE,title,/TaggedPDF-doc/doc[982]/title/pub
NDAR_V05_1011,New York Journal,"NEW YORK JOURNAL , THURSDAY, AUGUST 8, 1776 English",New York Journal,NEW YORK JOURNAL,title,/TaggedPDF-doc/doc[1011]/title/pub
NDAR_V05_1018,New England Chronicle,"NEW-ENGLAND CHRONICLE , THURSDAY, JUNE 20, 1776 Colony o",New England Chronicle,NEW-ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[1018]/title/pub
